new_district,dem1,dem2,rep1,rep2,d_votes,r_votes
01,182535.5828112285,0,150547.449442434,0,182535.5828112285,150547.449442434
02,231969.75249421143,0,148400.9776208823,0,231969.75249421143,148400.9776208823
03,189934.6791910297,0,164637.76234545614,0,189934.6791910297,164637.76234545614
04,189347.8509658821,0,143687.54659833494,0,189347.8509658821,143687.54659833494
05,118107.91255920882,0,206911.81328338152,22128.8888115323,118107.91255920882,229040.7020949138
06,171008.05159515,0,151904.2006703967,0,171008.05159515,151904.2006703967
07,189329.52424115702,0,144662.87036381266,0,189329.52424115702,144662.87036381266
08,206137.8911824277,0,95612.9079523589,0,206137.8911824277,95612.9079523589
09,150450.19821922056,0,107207.51204201889,0,150450.19821922056,107207.51204201889
10,241488.987320846,3.42692520706,122289.22505071612,0,241492.41424605306,122289.22505071612
11,274822.8250277508,0,64325.944001561256,0,274822.8250277508,64325.944001561256
12,185163.91057066788,97830.01927136691,6.92767758992,0,282993.9298420348,6.92767758992
13,106097.08811437951,0,93398.35961668074,0,106097.08811437951,93398.35961668074
14,182742.49142985386,12.55377573406,88548.39673483832,0,182755.04520558793,88548.39673483832
15,211535.43869246208,9.90964590861,77838.49216092192,0,211545.34833837068,77838.49216092192
16,177685.76117961222,125876.96054637527,1222.41363959649,0,303562.7217259875,1222.41363959649
17,173792.85955586153,47.39269216731,81195.14076820335,0,173840.25224802885,81195.14076820335
18,145772.27588437684,2916.72059646593,80974.31327171314,0,148688.99648084276,80974.31327171314
19,252365.68442492263,14.016496500749998,111787.28995251164,0,252379.70092142338,111787.28995251164
20,18143.37508299573,0,113031.35371603719,153885.4960540716,18143.37508299573,266916.8497701088
21,95926.5402459974,0,88314.92371931074,9685.45527249646,95926.5402459974,98000.3789918072
22,79245.67731253523,0,83349.10702518068,1709.66730818663,79245.67731253523,85058.77433336731
23,104128.03894076825,0,162154.65500883706,349.49251226406,104128.03894076825,162504.1475211011
24,214218.19813133602,0,127630.5322316566,0,214218.19813133602,127630.5322316566
25,151325.22841524842,0,113437.36299407542,0,151325.22841524842,113437.36299407542
26,189810.9043018415,0,141055.73424489144,0,189810.9043018415,141055.73424489144
27,155379.9629136938,0,128505.81126990737,0,155379.9629136938,128505.81126990737
28,200198.8875123132,10.85104119259,110832.22014274653,0,200209.7385535058,110832.22014274653
29,147599.29730075668,0,66378.88064131614,0,147599.29730075668,66378.88064131614
30,213359.36347849033,62.31040082353,101066.36163455373,0,213421.67387931386,101066.36163455373
31,156575.84529041927,0,118184.88100100216,0,156575.84529041927,118184.88100100216
32,207699.65990008728,0,126246.02967541508,0,207699.65990008728,126246.02967541508
33,139520.1357272863,0,98229.9371585485,0,139520.1357272863,98229.9371585485
34,105355.10508169938,83934.0001089487,24.54548731791,0,189289.1051906481,24.54548731791
35,140039.98401190017,0,110457.02812218395,0,140039.98401190017,110457.02812218395
36,245999.2917546351,0,111946.99628067871,0,245999.2917546351,111946.99628067871
37,160391.46522741008,0,15.499824734,0,160391.46522741008,15.499824734
38,137684.04182020316,9.838435835700002,108221.2417785641,0,137693.88025603886,108221.2417785641
39,129199.1147828176,0,98935.75415798706,0,129199.1147828176,98935.75415798706
40,160147.77644203597,0,211998.4404399196,0,160147.77644203597,211998.4404399196
41,172524.54884215628,0,120962.56907776924,0,172524.54884215628,120962.56907776924
42,189314.7089417191,0,149080.02906684115,0,189314.7089417191,149080.02906684115
43,160076.10845155737,0,53152.2385491108,0,160076.10845155737,53152.2385491108
44,147262.03181856134,0,53783.86014337627,0,147262.03181856134,53783.86014337627
45,152843.2101573018,0,138564.33368654436,0,152843.2101573018,138564.33368654436
46,135823.9811038129,0,84760.63251428994,0,135823.9811038129,84760.63251428994
47,184945.06416599272,0,164007.46885882117,0,184945.06416599272,164007.46885882117
48,163694.44048606034,0,155137.88695910003,0,163694.44048606034,155137.88695910003
49,206514.72716723112,0,173227.43149037805,0,206514.72716723112,173227.43149037805
50,209472.24085981477,0,151468.67048165522,0,209472.24085981477,151468.67048165522
51,201457.99469995312,0,141837.35627137957,0,201457.99469995312,141837.35627137957
52,168463.28260839218,0,94894.68211871483,0,168463.28260839218,94894.68211871483
